actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/fall/max,test/rwd_metrics/fall/mean,test/rwd_metrics/fall/min,test/rwd_metrics/fall/size,test/rwd_metrics/fall/std,test/rwd_metrics/foot_contact/max,test/rwd_metrics/foot_contact/mean,test/rwd_metrics/foot_contact/min,test/rwd_metrics/foot_contact/size,test/rwd_metrics/foot_contact/std,test/rwd_metrics/pelvis_move/max,test/rwd_metrics/pelvis_move/mean,test/rwd_metrics/pelvis_move/min,test/rwd_metrics/pelvis_move/size,test/rwd_metrics/pelvis_move/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
,,,,,,,,,,,,,1.0,-0.04112446,-1.0,280,0.61300236,0.16509951784809,0.16509951784809,0.16509951784809,10,0.0,28,28.0,28,10,0.0,-211.8263163292389,-211.8263163292389,-211.8263163292389,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-280.0,-280.0,-280.0,10,0.0,104.33266151363914,104.33266151363914,104.33266151363914,10,0.0,63.84102215712194,63.84102215712195,63.84102215712194,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,10,0.0,1.0,-0.02747262,-1.0,3125,0.994275,54.0,20.879194630872483,7.0,9536.0,9.6453297470103,-83.43108494354544,-171.23396123746386,-380.32871104554647,9536.0,67.89765531542506,9536.0,169.65871381759644,200000.0,1.0,169.65871381759644,200000.0,1178.8371814195416,3125.0
0.9933132,-321271.3,12.358207,-3.736749,321271.34,3.737614,4.6230516,305002.6,84.51465,4.8667593,-122.05014,110.98659,-129.44673,1.0,-0.0064170477,-1.0,200,0.46707103,0.0686512073634412,0.0686512073634412,0.0686512073634412,10,0.0,20,20.0,20,10,0.0,-127.27669421342485,-127.27669421342485,-127.27669421342485,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-200.0,-200.0,-200.0,10,0.0,94.89796313938048,94.89796313938044,94.89796313938048,10,1.4210854715202004e-14,77.82534264719472,77.82534264719472,77.82534264719472,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.05,0.05,0.05,10,0.0,5.735094,-0.058198795,-6.241149,3125,1.0724361,88.0,42.75706940874036,21.0,4668.0,8.3813677746085,-117.17078605591703,-310.2205662104002,-663.7075864047206,4668.0,57.716794271921415,14204.0,312.39421820640564,200000.0,2.0,482.0529320240021,400000.0,640.2167144715069,6250.0
0.93933415,-364916.5,17.154158,-1.4483352,364916.6,1.449536,10.655945,163247.56,86.776344,8.475035,-187.5277,62.41941,-185.02519,0.99578494,-0.06456222,-0.98670596,130,0.43904567,0.0666669669959744,0.0666669669959744,0.0666669669959744,10,0.0,13,13.0,13,10,0.0,-93.17374028835194,-93.17374028835194,-93.17374028835194,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-130.0,-130.0,-130.0,10,0.0,80.84755756759081,80.84755756759081,80.84755756759081,10,0.0,55.97870214405725,55.97870214405725,55.97870214405725,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,10,1.3877787807814457e-17,5.600106,-0.08482182,-5.9312634,3125,1.0691687,74.0,34.34069886947585,12.0,5838.0,8.180908326066366,-98.49347686378648,-253.2097227426919,-593.1246586569324,5838.0,59.86084329702711,20042.0,307.4839553833008,200000.0,3.0,789.5368874073029,600000.0,650.4404424962131,9375.0
0.8630835,-136047.92,21.017038,-1.3043939,136047.98,1.305865,14.727159,46795.535,96.80764,8.697842,-177.75829,69.29089,-177.97139,0.99845284,-0.056868013,-0.99999994,70,0.6877499,0.1468952618788186,0.1468952618788186,0.1468952618788186,10,0.0,7,7.0,7,10,0.0,-84.76662677511356,-84.76662677511356,-84.76662677511356,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,54.0272172451486,54.0272172451486,54.0272172451486,10,0.0,31.206155979737822,31.206155979737822,31.206155979737822,10,3.552713678800501e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.425828,-0.12266516,-5.868747,3125,1.0205977,45.0,18.877083922011867,8.0,10617.0,6.619636750253386,-84.0693836316501,-145.68380086355648,-349.53207676400825,10617.0,44.35237267251372,30659.0,300.840295791626,200000.0,4.0,1090.3771831989288,800000.0,664.8045584243408,12500.0
0.82397175,-75138.75,24.817516,-0.70446104,75138.805,0.7061983,15.038058,20866.084,109.6276,8.3052635,-160.58525,67.87182,-163.05804,0.9998864,-0.028104039,-1.0,70,0.7528776,0.1797372062695698,0.1797372062695698,0.1797372062695698,10,0.0,7,7.0,7,10,0.0,-84.2131742625407,-84.21317426254072,-84.2131742625407,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,54.38775926051292,54.38775926051292,54.38775926051292,10,0.0,31.399066476946377,31.399066476946377,31.399066476946377,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.612847,-0.05744082,-5.7302876,3125,1.0374994,37.0,10.450804261541675,7.0,19148.0,3.214712639737486,-82.2568583342196,-94.11552206539996,-279.3163474014996,19148.0,17.667720781933422,49807.0,305.8679623603821,200000.0,5.0,1396.245145559311,1000000.0,653.8769162242447,15625.0
0.8321441,-62246.465,27.814669,-1.289486,62246.52,1.2914333,15.007852,16128.223,123.0834,6.4893165,-146.80817,58.64392,-149.04771,0.9999603,-0.025259454,-1.0,70,0.75917596,0.1848828604931452,0.1848828604931452,0.1848828604931452,10,0.0,7,7.0,7,10,0.0,-84.11330523491324,-84.11330523491324,-84.11330523491324,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,54.33644925271693,54.33644925271693,54.33644925271693,10,0.0,31.550245512369813,31.550245512369816,31.550245512369813,10,3.552713678800501e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.911,-0.03266506,-5.9849095,3125,1.0583118,52.0,8.965718126820525,7.0,22315.0,1.7394832918581646,-82.68300677331777,-87.88254553790944,-318.4747753787146,22315.0,8.067208944178333,72122.0,302.8769302368164,200000.0,6.0,1699.122075796127,1200000.0,660.3342151005758,18750.0
0.71494293,-8048.101,30.403368,-0.26355875,8048.152,0.265687,14.814501,1949.4888,131.35435,4.9013286,-129.51237,45.3814,-130.77094,0.9999823,-0.023685658,-1.0,60,0.7740514,0.1836697294562541,0.1836697294562541,0.1836697294562541,10,0.0,6,6.0,6,10,0.0,-84.4120887120608,-84.41208871206081,-84.4120887120608,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-60.0,-60.0,-60.0,10,0.0,48.03380135560752,48.03380135560752,48.03380135560752,10,0.0,27.55410993233168,27.55410993233168,27.55410993233168,10,3.552713678800501e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,10,2.775557561562892e-17,5.2855415,-0.02608364,-5.646119,3125,1.0595332,38.0,8.475990675990676,7.0,23595.0,1.2489138950577956,-82.34174448513193,-86.44583461862939,-273.0474492234472,23595.0,5.2440806904388415,95717.0,309.06949973106384,200000.0,7.0,2008.1915755271912,1400000.0,647.103645536132,21875.0
0.5215851,-0.036079794,33.617905,-0.22186711,0.07259075,0.22422037,14.440155,139.52039,139.50342,3.4287634,-110.46019,24.549282,-110.10546,0.99999434,-0.027026456,-1.0,60,0.7673538,0.1810084875814138,0.1810084875814139,0.1810084875814138,10,2.775557561562892e-17,6,6.0,6,10,0.0,-84.17831686669614,-84.17831686669614,-84.17831686669614,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-60.0,-60.0,-60.0,10,0.0,48.21831228673551,48.21831228673551,48.21831228673551,10,0.0,27.60337084656836,27.60337084656836,27.60337084656836,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,10,2.775557561562892e-17,5.459221,-0.02500064,-6.0425143,3125,1.0572352,38.0,8.199270312371894,7.0,24394.0,1.1393508313707237,-82.06607352492361,-85.65559950908654,-266.872602832315,24394.0,4.750598891606163,120111.0,309.93161630630493,200000.0,8.0,2318.123191833496,1600000.0,645.3036395045942,25000.0
0.434105,0.027963482,37.51265,-0.048507392,0.0024238701,0.051133282,14.073976,143.859,143.85062,2.080524,-99.28218,9.0911455,-97.365944,0.9999973,-0.03268606,-1.0,60,0.757737,0.1761576385152631,0.1761576385152631,0.1761576385152631,10,2.775557561562892e-17,6,6.0,6,10,0.0,-83.8976240135019,-83.89762401350188,-83.8976240135019,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-60.0,-60.0,-60.0,10,0.0,48.53786146927904,48.53786146927904,48.53786146927904,10,0.0,27.56451451721905,27.56451451721905,27.56451451721905,10,3.552713678800501e-15,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,10,2.775557561562892e-17,5.456498,-0.027807467,-5.7590675,3125,1.0504822,34.0,8.029349178945678,7.0,24907.0,1.0179176447832288,-81.51665865539869,-84.89894150119487,-253.74591678169,24907.0,4.004720725387393,145018.0,304.5408363342285,200000.0,9.0,2622.6640281677246,1800000.0,656.7263766902621,28125.0
0.3964659,0.026270077,40.935066,-0.04996003,0.0014825363,0.05282548,13.811943,144.65114,144.64583,1.2403662,-95.7338,2.630474,-93.1619,0.99999326,-0.04111618,-1.0,70,0.72535694,0.1713885906846706,0.1713885906846706,0.1713885906846706,10,0.0,7,7.0,7,10,0.0,-82.89741754489012,-82.89741754489012,-82.89741754489012,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,-100,-100.0,-100,10,0.0,,,,,,-70.0,-70.0,-70.0,10,0.0,55.71052738309445,55.71052738309445,55.71052738309445,10,0.0,31.39205507201541,31.39205507201541,31.39205507201541,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,10,0.0,5.5939913,-0.03539008,-5.7723846,3125,1.0397567,13.0,8.029141412114157,7.0,24913.0,0.7802514535090925,-81.48117406295374,-83.97190271972578,-99.84627503821557,24913.0,1.247424525743592,169931.0,314.292578458786,200000.0,10.0,2936.9566066265106,2000000.0,636.3497381349287,31250.0
