actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/cyclic_hip/max,test/rwd_metrics/cyclic_hip/mean,test/rwd_metrics/cyclic_hip/min,test/rwd_metrics/cyclic_hip/size,test/rwd_metrics/cyclic_hip/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/fall_rew/max,test/rwd_metrics/fall_rew/mean,test/rwd_metrics/fall_rew/min,test/rwd_metrics/fall_rew/size,test/rwd_metrics/fall_rew/std,test/rwd_metrics/joint_angle_rew/max,test/rwd_metrics/joint_angle_rew/mean,test/rwd_metrics/joint_angle_rew/min,test/rwd_metrics/joint_angle_rew/size,test/rwd_metrics/joint_angle_rew/std,test/rwd_metrics/mirror_leg/max,test/rwd_metrics/mirror_leg/mean,test/rwd_metrics/mirror_leg/min,test/rwd_metrics/mirror_leg/size,test/rwd_metrics/mirror_leg/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/rwd_metrics/step_length_rew/max,test/rwd_metrics/step_length_rew/mean,test/rwd_metrics/step_length_rew/min,test/rwd_metrics/step_length_rew/size,test/rwd_metrics/step_length_rew/std,test/rwd_metrics/vel_reward/max,test/rwd_metrics/vel_reward/mean,test/rwd_metrics/vel_reward/min,test/rwd_metrics/vel_reward/size,test/rwd_metrics/vel_reward/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
,,,,,,,,,,,,,1.0,-0.1107023,-1.0,750,0.81319624,0.254799655065904,0.254799655065904,0.254799655065904,10,0.0,75,75.0,75,10,0.0,690.2469555663138,690.2469555663138,690.2469555663138,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,93.05820724589633,93.0582072458963,93.05820724589633,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,252.3421450151505,252.3421450151505,252.3421450151505,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,464.8466033052669,464.84660330526697,464.8466033052669,10,5.684341886080804e-14,0.0133333333333333,0.0133333333333333,0.0133333333333333,10,1.734723475976807e-18,1.0,0.048872832,-1.0,3125,0.99354637,103,37.16666666666666,15,5376,16.394564527054264,855.2324446777526,307.3076868333036,64.72059248707885,5376,156.8957389991131,5376.0,177.06412625312805,200000.0,1.0,177.06412625312805,200000.0,1129.534277960309,3125.0
1.112128,-276379.44,12.928796,-1.8546344,276379.53,1.8555392,4.691961,264183.66,49.660114,6.4989486,136.11533,266.6282,135.24417,1.0,-0.11619372,-1.0,670,0.87926567,0.29187808406864,0.29187808406864,0.29187808406864,10,0.0,67,67.0,67,10,0.0,651.8007014708191,651.8007014708191,651.8007014708191,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,102.76045546913414,102.76045546913414,102.76045546913414,10,0.0,0.0,0.0,0.0,10,0.0,246.04403262894385,246.04403262894388,246.04403262894385,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,422.9962133727413,422.9962133727413,422.9962133727413,10,0.0,0.0149253731343283,0.0149253731343283,0.0149253731343283,10,1.734723475976807e-18,5.6946707,-0.08431785,-6.2432456,3125,1.1136459,167,71.9857975236708,26,2746,17.427097615010688,1774.9059403723234,709.1389711589605,320.92978006960897,2746,153.9936442694973,8122.0,323.25250458717346,200000.0,2.0,500.3166308403015,400000.0,618.7113700957104,6250.0
1.2179173,-325195.34,18.35105,-1.7100118,325195.44,1.7112964,10.908876,163141.52,53.166485,14.107424,232.76637,324.01855,222.12733,1.0,-0.060197975,-1.0,650,0.88617355,0.3126484211218794,0.3126484211218794,0.3126484211218794,10,0.0,65,65.0,65,10,0.0,870.930146452703,870.9301464527031,870.930146452703,10,1.1368683772161605e-13,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,0.0,0.0,0.0,10,0.0,107.60376321635448,107.60376321635448,107.60376321635448,10,0.0,0.0,0.0,0.0,10,0.0,231.50506736591333,231.50506736591333,231.50506736591333,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,551.8213158704351,551.821315870435,551.8213158704351,10,1.1368683772161605e-13,0.0153846153846153,0.0153846153846153,0.0153846153846153,10,0.0,6.1796455,-0.064790055,-5.9118924,3125,1.1774417,183,84.85428206220708,29,2347,26.45609723157549,1958.6843822102603,866.6350715279021,385.8411647485692,2347,251.6864888903384,10469.0,317.73074173927307,200000.0,3.0,818.0473725795746,600000.0,629.4637997733256,9375.0
1.2082398,-227212.97,23.577631,-1.2812916,227213.05,1.2829422,15.385982,82129.305,62.87567,18.29087,262.31085,529.8255,251.82762,1.0,-0.04331313,-1.0,790,0.9392886,0.3583611041270687,0.3583611041270687,0.3583611041270687,10,0.0,79,79.0,79,10,0.0,910.9359492059076,910.9359492059076,910.9359492059076,10,2.273736754432321e-13,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,115.3173681604858,115.3173681604858,115.3173681604858,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,245.27269906837407,245.27269906837407,245.27269906837407,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,670.345881977048,670.3458819770478,670.345881977048,10,1.1368683772161605e-13,0.0126582278481012,0.0126582278481012,0.0126582278481012,10,1.734723475976807e-18,5.809733,-0.019244235,-6.39299,3125,1.2066243,219,96.69025690741638,28,2063,27.106628414573045,2521.6508426323267,1011.029165011368,386.7612438503523,2063,255.602179248132,12532.0,310.15434551239014,200000.0,4.0,1128.2017180919647,800000.0,644.8402316259352,12500.0
1.0819862,-153686.3,28.295425,-1.2464796,153686.38,1.2484603,15.946028,43945.133,70.10099,18.893427,275.71164,576.2079,266.08206,1.0,-0.041137204,-1.0,880,0.9470495,0.3648684938971707,0.3648684938971707,0.3648684938971707,10,0.0,88,88.0,88,10,0.0,1111.32327822236,1111.32327822236,1111.32327822236,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,122.2962993973782,122.2962993973782,122.2962993973782,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,395.3652480783789,395.3652480783789,395.3652480783789,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,713.6617307466026,713.6617307466025,713.6617307466026,10,1.1368683772161605e-13,0.0113636363636363,0.0113636363636363,0.0113636363636363,10,0.0,5.6926813,-0.020786496,-5.9492745,3125,1.2207754,220,99.92073778664007,28,2006,23.974733265431592,2499.7612508147404,1048.1076974261437,399.4681323734012,2006,239.887539385238,14538.0,312.1347646713257,200000.0,5.0,1440.3364827632904,1000000.0,640.7488772056445,15625.0
1.0042627,-148820.31,33.293373,-1.2839684,148820.38,1.2862991,16.123459,35828.22,75.990364,17.276,289.7009,604.45715,284.42432,1.0,-0.0316761,-1.0,680,0.9358854,0.3537860707466182,0.3537860707466182,0.3537860707466182,10,0.0,68,68.0,68,10,0.0,903.9876990056044,903.9876990056044,903.9876990056044,10,1.1368683772161605e-13,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,0.0,0.0,0.0,10,0.0,100.9968814506121,100.99688145061212,100.9968814506121,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,288.35789436331714,288.3578943633171,288.35789436331714,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,534.6329231916753,534.6329231916753,534.6329231916753,10,0.0,0.0147058823529411,0.0147058823529411,0.0147058823529411,10,0.0,6.4044027,-0.022754058,-5.8907175,3125,1.2311188,220,104.77981171548116,29,1912,18.286971788763783,2539.553168598323,1092.9864687821723,389.2930514606514,1912,206.07401702720324,16450.0,310.9496257305145,200000.0,6.0,1751.2871079444883,1200000.0,643.1909976741076,18750.0
0.95219225,-109898.0,38.15655,-1.2731522,109898.06,1.2758231,16.271322,22840.791,87.55219,15.52266,309.09924,620.518,308.13474,1.0,-0.06122761,-1.0,1070,0.95900875,0.3669743346839912,0.3669743346839912,0.3669743346839912,10,5.551115123125783e-17,107,107.0,107,10,0.0,1196.1238615102577,1196.1238615102577,1196.1238615102577,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,134.24542623060924,134.2454262306092,134.24542623060924,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,324.80344291738817,324.80344291738817,324.80344291738817,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,857.0749923622603,857.0749923622603,857.0749923622603,10,0.0,0.0093457943925233,0.0093457943925233,0.0093457943925233,10,0.0,6.191395,-0.034719512,-6.4218264,3125,1.2433429,267,109.29456939111355,27,1823,19.35170933011453,2957.710019431571,1153.6650026252114,371.6632184478077,1823,225.04447325778725,18273.0,315.5846757888794,200000.0,7.0,2066.871783733368,1400000.0,633.7443334346073,21875.0
0.85183907,-77544.586,42.655613,-1.8370587,77544.66,1.8400447,16.356276,14811.806,105.308426,14.821854,328.62964,560.3651,328.9444,1.0,-0.07030175,-1.0,940,0.9651678,0.3663219200877474,0.3663219200877474,0.3663219200877474,10,0.0,94,94.0,94,10,0.0,1010.7832241852308,1010.7832241852308,1010.7832241852308,10,1.1368683772161605e-13,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,120.91007344130742,120.9100734413074,120.91007344130742,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,290.80284339805826,290.8028433980582,290.80284339805826,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,719.0703073458656,719.0703073458656,719.0703073458656,10,0.0,0.0106382978723404,0.0106382978723404,0.0106382978723404,10,0.0,5.999365,-0.05006073,-6.1481733,3125,1.2573206,201,108.39859383450514,28,1849,24.38630462123128,2339.7306141079166,1174.1091059894547,391.3104116474439,1849,257.5059214287643,20122.0,317.51140832901,200000.0,8.0,2384.383192062378,1600000.0,629.8986264857515,25000.0
0.85751325,-115201.8,46.90668,-1.2462325,115201.836,1.249516,16.41579,19988.549,109.95245,14.542451,338.76492,544.0514,339.75885,1.0,-0.0671171,-1.0,890,0.95654905,0.3535670310090982,0.3535670310090982,0.3535670310090982,10,5.551115123125783e-17,89,89.0,89,10,0.0,1031.071538564392,1031.071538564392,1031.071538564392,10,2.273736754432321e-13,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,105.49690425752136,105.49690425752136,105.49690425752136,10,0.0,0.0,0.0,0.0,10,0.0,252.6080826852281,252.6080826852281,252.6080826852281,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,792.9665516216422,792.9665516216421,792.9665516216422,10,1.1368683772161605e-13,0.0112359550561797,0.0112359550561797,0.0112359550561797,10,0.0,5.9950037,-0.069365926,-6.0627546,3125,1.2671298,223,101.63155216284989,26,1965,31.48057475901957,2353.062463047823,1150.2375065186743,385.6572232014018,1965,321.6899457077862,22087.0,312.9789409637451,200000.0,9.0,2697.362133026123,1800000.0,639.020629899721,28125.0
0.91723466,-92772.87,49.9044,-0.87188435,92772.92,0.8753777,16.439861,14903.691,110.501755,14.888483,350.75363,601.07837,351.84372,1.0,-0.06494868,-1.0,600,0.94328374,0.3420943347337803,0.3420943347337802,0.3420943347337803,10,5.551115123125783e-17,60,60.0,60,10,0.0,831.965054637202,831.965054637202,831.965054637202,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,0.0,0.0,0.0,10,0.0,71.30712239413067,71.30712239413069,71.30712239413067,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,250.5847383249953,250.5847383249953,250.5847383249953,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,,,,,,530.0731939180763,530.0731939180762,530.0731939180763,10,1.1368683772161605e-13,0.0166666666666666,0.0166666666666666,0.0166666666666666,10,0.0,6.182234,-0.069446795,-6.3040752,3125,1.2754358,212,104.84768907563026,28,1904,29.880151272002955,2561.8704068409256,1216.758056321758,307.67551380279394,1904,323.1635297835383,23991.0,313.2055790424347,200000.0,10.0,3010.5677120685577,2000000.0,638.5582294270147,31250.0
