actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/effort/max,test/effort/mean,test/effort/min,test/effort/size,test/effort/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,test/rwd_metrics/act_mag/max,test/rwd_metrics/act_mag/mean,test/rwd_metrics/act_mag/min,test/rwd_metrics/act_mag/size,test/rwd_metrics/act_mag/std,test/rwd_metrics/cyclic_hip/max,test/rwd_metrics/cyclic_hip/mean,test/rwd_metrics/cyclic_hip/min,test/rwd_metrics/cyclic_hip/size,test/rwd_metrics/cyclic_hip/std,test/rwd_metrics/dense/max,test/rwd_metrics/dense/mean,test/rwd_metrics/dense/min,test/rwd_metrics/dense/size,test/rwd_metrics/dense/std,test/rwd_metrics/done/max,test/rwd_metrics/done/mean,test/rwd_metrics/done/min,test/rwd_metrics/done/size,test/rwd_metrics/done/std,test/rwd_metrics/fall_rew/max,test/rwd_metrics/fall_rew/mean,test/rwd_metrics/fall_rew/min,test/rwd_metrics/fall_rew/size,test/rwd_metrics/fall_rew/std,test/rwd_metrics/joint_angle_rew/max,test/rwd_metrics/joint_angle_rew/mean,test/rwd_metrics/joint_angle_rew/min,test/rwd_metrics/joint_angle_rew/size,test/rwd_metrics/joint_angle_rew/std,test/rwd_metrics/mirror_leg/max,test/rwd_metrics/mirror_leg/mean,test/rwd_metrics/mirror_leg/min,test/rwd_metrics/mirror_leg/size,test/rwd_metrics/mirror_leg/std,test/rwd_metrics/not_move_rew/max,test/rwd_metrics/not_move_rew/mean,test/rwd_metrics/not_move_rew/min,test/rwd_metrics/not_move_rew/size,test/rwd_metrics/not_move_rew/std,test/rwd_metrics/ref_rot/max,test/rwd_metrics/ref_rot/mean,test/rwd_metrics/ref_rot/min,test/rwd_metrics/ref_rot/size,test/rwd_metrics/ref_rot/std,test/rwd_metrics/solved/max,test/rwd_metrics/solved/mean,test/rwd_metrics/solved/min,test/rwd_metrics/solved/size,test/rwd_metrics/solved/std,test/rwd_metrics/sparse/max,test/rwd_metrics/sparse/mean,test/rwd_metrics/sparse/min,test/rwd_metrics/sparse/size,test/rwd_metrics/sparse/std,test/rwd_metrics/vel_reward/max,test/rwd_metrics/vel_reward/mean,test/rwd_metrics/vel_reward/min,test/rwd_metrics/vel_reward/size,test/rwd_metrics/vel_reward/std,test/terminated/max,test/terminated/mean,test/terminated/min,test/terminated/size,test/terminated/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
,,,,,,,,,,,,,1.0,0.008364055,-1.0,380,0.84077215,0.3194629526413555,0.3194629526413555,0.3194629526413555,10,5.551115123125783e-17,38,38.0,38,10,0.0,-215.94736070155776,-215.94736070155776,-215.94736070155776,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,-383.1267214189272,-383.1267214189271,-383.1267214189272,10,5.684341886080804e-14,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,27.97300951247946,27.97300951247946,27.97300951247946,10,0.0,0.0,0.0,0.0,10,0.0,-190.0,-190.0,-190.0,10.0,0.0,140.4141527739855,140.4141527739855,140.4141527739855,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,308.7921984309043,308.79219843090425,308.7921984309043,10,5.684341886080804e-14,0.0263157894736842,0.0263157894736842,0.0263157894736842,10,0.0,1.0,0.013755067,-1.0,3125,0.9940497,92,36.26744186046512,21,5504,14.452347052170705,-24.68878954707713,-193.3921686147505,-790.4987601468762,5504,110.92705635008932,5504.0,154.85620069503784,200000.0,1.0,154.85620069503784,200000.0,1291.5207728353414,3125.0
0.9924503,-104159.44,11.752719,-0.30324513,104159.49,0.30390325,4.63926,126312.6,42.143047,5.463319,-108.60469,102.2024,-114.94196,1.0,-0.03465069,-1.0,240,0.6793574,0.1929944429649492,0.1929944429649492,0.1929944429649492,10,0.0,24,24.0,24,10,0.0,-120.61837247772814,-120.61837247772814,-120.61837247772814,10,0.0,0.0,0.0,0.0,10,0.0,-257.42332021070433,-257.42332021070433,-257.42332021070433,10,0.0,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,35.32052230000197,35.32052230000197,35.32052230000197,10,0.0,0.0,0.0,0.0,10,0.0,-119.99753997992644,-119.99753997992644,-119.99753997992644,10.0,1.4210854715202004e-14,149.4019465482225,149.4019465482225,149.4019465482225,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,192.0800188646782,192.08001886467807,192.0800188646782,10,2.8421709430404014e-14,0.0416666666666666,0.0416666666666666,0.0416666666666666,10,6.938893903907228e-18,6.0156946,0.0014903034,-5.779949,3125,1.1065463,71,46.82420681551116,21,4255,4.795231343981615,-59.8034207132944,-280.9821181557304,-451.4575966633566,4255,34.64080205336248,9759.0,297.7273223400116,200000.0,2.0,452.58352303504944,400000.0,671.7556132506888,6250.0
0.882595,-79843.88,14.415035,-0.62419176,79843.945,0.6249989,10.69614,77935.88,38.030354,6.861634,-143.68857,14.181592,-145.57092,1.0,-0.15938959,-1.0,210,0.62943983,0.1297353546553954,0.1297353546553954,0.1297353546553954,10,0.0,21,21.0,21,10,0.0,-35.7717505677176,-35.7717505677176,-35.7717505677176,10,0.0,0.0,0.0,0.0,10,0.0,-217.68425181194672,-217.6842518119467,-217.68425181194672,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,51.43915696480481,51.43915696480481,51.43915696480481,10,0.0,0.0,0.0,0.0,10,0.0,-104.96302509618492,-104.96302509618492,-104.96302509618492,10.0,0.0,158.4328537627505,158.4328537627505,158.4328537627505,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,197.0035156128587,197.0035156128588,197.0035156128587,10,2.8421709430404014e-14,0.0476190476190476,0.0476190476190476,0.0476190476190476,10,0.0,5.7059555,-0.005645047,-5.608857,3125,1.0412853,52,28.448878159613745,21,7042,3.5541435538297974,-44.94497066531068,-146.46663676336368,-306.0791643971859,7042,23.874041404726025,16801.0,289.2366662025452,200000.0,3.0,741.8201892375946,600000.0,691.4752635820557,9375.0
0.85020983,-21311.156,16.60043,-0.4694571,21311.2,0.47038674,14.832434,16949.695,48.077908,6.958587,-134.60014,23.119556,-137.4456,1.0,-0.19257182,-1.0,210,0.7313852,0.1726838314477723,0.1726838314477723,0.1726838314477723,10,0.0,21,21.0,21,10,0.0,-10.807069160547968,-10.807069160547968,-10.807069160547968,10,0.0,0.0,0.0,0.0,10,0.0,-201.76076973507145,-201.76076973507145,-201.76076973507145,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,58.91380111245206,58.91380111245208,58.91380111245206,10,1.4210854715202004e-14,0.0,0.0,0.0,10,0.0,-104.82779969540434,-104.82779969540434,-104.82779969540434,10.0,0.0,162.44810015543777,162.44810015543777,162.44810015543777,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,194.419599002038,194.419599002038,194.419599002038,10,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,10,0.0,5.6033835,-0.13016215,-5.745449,3125,1.0371875,33,22.141134830217897,21,9041,2.1310850001881634,21.61352913065405,-68.94419127427736,-167.42121409609388,9041,30.29406823877645,25842.0,288.7979395389557,200000.0,4.0,1030.6181287765503,800000.0,692.5257164898235,12500.0
0.7412754,0.011349975,18.59845,-0.036954924,0.03016145,0.037996434,15.182789,62.360905,62.319283,6.444158,-119.57902,28.331999,-123.35175,1.0,-0.21919492,-1.0,210,0.75312847,0.1758125905294481,0.1758125905294481,0.1758125905294481,10,2.775557561562892e-17,21,21.0,21,10,0.0,5.168298782949535,5.168298782949535,5.168298782949535,10,0.0,0.0,0.0,0.0,10,0.0,-188.3858153671104,-188.3858153671104,-188.3858153671104,10,0.0,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,59.39943141557362,59.39943141557362,59.39943141557362,10,0.0,0.0,0.0,0.0,10,0.0,-104.7529943552864,-104.7529943552864,-104.7529943552864,10.0,0.0,167.83395534725565,167.83395534725565,167.83395534725565,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,191.07372174251708,191.07372174251708,191.07372174251708,10,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,10,0.0,5.8817554,-0.19421586,-6.09765,3125,1.0682427,42,21.19735169491525,21,9440,0.8991128980441392,46.53073696122958,-32.70965708779095,-175.77318917224048,9440,20.858584835747383,35282.0,293.1381981372833,200000.0,5.0,1323.7563269138336,1000000.0,682.2720521272203,15625.0
0.6565605,-4226.259,22.692389,-0.084772795,4226.296,0.08604356,15.161667,3072.3938,71.30205,5.5346055,-105.629776,31.269236,-109.25123,0.99999964,-0.22572362,-1.0,210,0.7124626,0.1494647473833709,0.1494647473833709,0.1494647473833709,10,2.775557561562892e-17,21,21.0,21,10,0.0,19.482386548818965,19.482386548818965,19.482386548818965,10,0.0,0.0,0.0,0.0,10,0.0,-176.25462629540505,-176.25462629540507,-176.25462629540505,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,57.29646090440495,57.29646090440495,57.29646090440495,10,0.0,0.0,0.0,0.0,10,0.0,-104.37249999259905,-104.37249999259905,-104.37249999259905,10.0,0.0,170.52252812670972,170.5225281267097,170.52252812670972,10,2.8421709430404014e-14,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,192.2905238057085,192.2905238057085,192.2905238057085,10,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,10,0.0,5.555123,-0.21999982,-6.324622,3125,1.0743823,43,21.086121372031663,21,9475,0.6269013262609789,50.80635905573254,-8.778187471342747,-175.5233287126489,9475,22.30075075989936,44757.0,290.9531292915344,200000.0,6.0,1614.709456205368,1200000.0,687.3959406691943,18750.0
0.57190794,-6197.622,27.08845,-0.08699837,6197.6533,0.08851532,15.085807,3818.0657,84.44043,5.3613663,-85.16952,42.042328,-88.243935,1.0,-0.24970633,-1.0,210,0.74710196,0.1644291443429869,0.1644291443429869,0.1644291443429869,10,2.775557561562892e-17,21,21.0,21,10,0.0,-29.14133406758171,-29.14133406758172,-29.14133406758171,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,-195.73154720743509,-195.73154720743509,-195.73154720743509,10,0.0,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,54.69889283720084,54.69889283720083,54.69889283720084,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,-102.40040847556696,-102.40040847556698,-102.40040847556696,10.0,1.4210854715202004e-14,166.39421495971652,166.39421495971652,166.39421495971652,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,167.89751381850292,167.8975138185029,167.89751381850292,10,2.8421709430404014e-14,0.0476190476190476,0.0476190476190476,0.0476190476190476,10,0.0,5.8322897,-0.23657614,-6.3716726,3125,1.0826608,40,21.038271475134056,21,9511,0.4175305263226025,63.66360062368804,6.053597197872985,-180.7967794177476,9511,27.123133245044496,54268.0,295.1853899955749,200000.0,7.0,1909.894846200943,1400000.0,677.540307814686,21875.0
0.38686615,-469.84302,30.69454,-0.04369301,469.86462,0.0454119,14.9932375,366.86212,99.94031,5.775575,-62.819397,53.67583,-64.88305,1.0,-0.245868,-1.0,210,0.76830053,0.1670929410095401,0.1670929410095401,0.1670929410095401,10,2.775557561562892e-17,21,21.0,21,10,0.0,-61.75887940502753,-61.75887940502753,-61.75887940502753,10,0.0,0.0,0.0,0.0,10,0.0,-214.0224481394356,-214.0224481394356,-214.0224481394356,10,0.0,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,56.67349856552962,56.67349856552962,56.67349856552962,10,0.0,0.0,0.0,0.0,10,0.0,-101.44899916491896,-101.44899916491896,-101.44899916491896,10.0,0.0,157.85479258320623,157.85479258320623,157.85479258320623,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,159.18427675059118,159.18427675059118,159.18427675059118,10,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,10,0.0,6.116895,-0.24049799,-5.624712,3125,1.0894591,33,21.03066904736897,21,9521,0.3679532945193137,63.41377800439324,14.341695443907923,-212.6131145166692,9521,30.634506410536265,63789.0,291.7786910533905,200000.0,8.0,2201.673537254333,1600000.0,685.451015212771,25000.0
0.23750278,-315.01608,35.769314,-0.07470295,315.0294,0.07670603,14.966352,283.2176,107.818504,5.93353,-48.386433,61.148926,-48.940346,1.0,-0.24518879,-1.0,210,0.76886743,0.1680759095919132,0.1680759095919132,0.1680759095919132,10,2.775557561562892e-17,21,21.0,21,10,0.0,-55.83548140676731,-55.8354814067673,-55.83548140676731,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,-211.1398302852709,-211.1398302852709,-211.1398302852709,10,0.0,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,57.23088950453886,57.23088950453886,57.23088950453886,10,0.0,0.0,0.0,0.0,10,0.0,-101.53148920884514,-101.53148920884516,-101.53148920884514,10.0,1.4210854715202004e-14,158.25578604369548,158.25578604369548,158.25578604369548,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,161.3491625391144,161.3491625391144,161.3491625391144,10,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,10,0.0,6.2412233,-0.24159,-5.6318126,3125,1.0914983,41,21.02729476235641,21,9489,0.4113894698143565,66.33191926675656,14.593047168427471,-259.9185081828164,9489,31.176844866741384,73278.0,289.5801696777344,200000.0,9.0,2491.253706932068,1800000.0,690.6550273196344,28125.0
0.14754532,0.0056589893,39.0362,-0.08468508,0.0026035486,0.08687111,14.934514,108.86316,108.85028,5.876123,-40.240032,63.071056,-39.7524,1.0,-0.25275648,-1.0,210,0.75206774,0.1663889440463458,0.1663889440463458,0.1663889440463458,10,2.775557561562892e-17,21,21.0,21,10,0.0,-35.349296501261364,-35.34929650126137,-35.349296501261364,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,-199.13394255344213,-199.13394255344213,-199.13394255344213,10,0.0,0.0,0.0,0.0,10,0.0,-20.0,-20.0,-20.0,10,0.0,-100.0,-100.0,-100.0,10,0.0,61.31422678912855,61.31422678912854,61.31422678912855,10,7.105427357601002e-15,0.0,0.0,0.0,10,0.0,-101.9792511884229,-101.97925118842292,-101.9792511884229,10.0,1.4210854715202004e-14,160.49988082311734,160.49988082311734,160.49988082311734,10,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,10,0.0,163.94978962835785,163.94978962835785,163.94978962835785,10,0.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,10,0.0,5.573021,-0.24497375,-5.8258176,3125,1.0841545,25,21.01227444397818,21,9532,0.1395258629595041,68.41338718518439,22.060429637583216,-103.09341206490916,9532,24.37984866931269,82810.0,292.81057024002075,200000.0,10.0,2784.0642771720886,2000000.0,683.0354513365324,31250.0
